Question_code,Answer_type,Answer_code,Answer_name,Answer_meaning
IRHALLUCREC,optional,9,Hallucinogen Recency,Never used hallucinogens
IRLSDRC,optional,1,LSD Recency,Last used within the past 30 days
IRLSDRC,optional,2,LSD Recency,Last used more than 30 days ago but within the past 12 months
IRLSDRC,optional,3,LSD Recency,Last used more than 12 months ago 
IRLSDRC,optional,9,LSD Recency,Never used LSD
IRPCPRC,optional,1,PCP Recency,Last used within the past 30 days
IRPCPRC,optional,2,PCP Recency,Last used more than 30 days ago but within the past 12 months
IRPCPRC,optional,3,PCP Recency,Last used more than 12 months ago 
IRPCPRC,optional,9,PCP Recency,Never used PCP
IRECSTMOREC,optional,1,Ecstasy Recency,Last used within the past 30 days
IRECSTMOREC,optional,2,Ecstasy Recency,Last used more than 30 days ago but within the past 12 months
IRECSTMOREC,optional,3,Ecstasy Recency,Last used more than 12 months ago 
IRECSTMOREC,optional,9,Ecstasy Recency,Never used ecstasy
IRKETMINREC,optional,1,Ketamine Recency,Last used within the past 30 days
IRKETMINREC,optional,2,Ketamine Recency,Last used more than 30 days ago but within the past 12 months
IRKETMINREC,optional,3,Ketamine Recency,Last used more than 12 months ago 
IRKETMINREC,optional,9,Ketamine Recency,Never used ketamine
IRDAMTFXREC,optional,1,DMT/AMT/FOXY Recency,Last used within the past 30 days
IRDAMTFXREC,optional,2,DMT/AMT/FOXY Recency,Last used more than 30 days ago but within the past 12 months
IRDAMTFXREC,optional,3,DMT/AMT/FOXY Recency,Last used more than 12 months ago 
IRDAMTFXREC,optional,9,DMT/AMT/FOXY Recency,Never used DMT/AMT/FOXY
IRSALVIAREC,optional,1,Salvia Recency,Last used within the past 30 days
IRSALVIAREC,optional,2,Salvia Recency,Last used more than 30 days ago but within the past 12 months
IRSALVIAREC,optional,3,Salvia Recency,Last used more than 12 months ago 
IRSALVIAREC,optional,9,Salvia Recency,Never used salvia
IRINHALREC,optional,1,Inhalant Recency,Last used within the past 30 days
IRINHALREC,optional,2,Inhalant Recency,Last used more than 30 days ago but within the past 12 months
IRINHALREC,optional,3,Inhalant Recency,Last used more than 12 months ago 
IRINHALREC,optional,9,Inhalant Recency,Never used inhalants
IRMETHAMREC,optional,1,Methamphetamine Recency,Last used within the past 30 days
IRMETHAMREC,optional,2,Methamphetamine Recency,Last used more than 30 days ago but within the past 12 months
IRMETHAMREC,optional,3,Methamphetamine Recency,Last used more than 12 months ago 
IRMETHAMREC,optional,9,Methamphetamine Recency,Never used methamphetamines
